,name,avg_pts,cv
677,J.Nelson,6.194117647058824,0.9630097759812077
769,J.Nelson,6.194117647058824,0.9651253795288312
2331,J.Nelson,6.194117647058824,1.0048734699752309
273,J.Nelson,6.194117647058824,0.9569603820885811
772,J.Nelson,6.194117647058824,0.9689381769828637
276,J.Nelson,6.194117647058824,0.9606768551266491
2795,J.Nelson,6.194117647058824,1.0124251192544182
659,J.Nelson,6.194117647058824,0.9620254238482417
181,J.Nelson,6.194117647058824,0.9548979056493931
141,J.Nelson,6.194117647058823,0.9546577064165611
637,J.Nelson,6.194117647058823,0.9627634046980023
2773,J.Nelson,6.188235294117647,1.0122846600812159
734,J.Nelson,6.188235294117647,0.9683607958828031
2309,J.Nelson,6.188235294117647,1.0047219328934178
238,J.Nelson,6.188235294117647,0.9600986230690592
103,J.Nelson,6.188235294117646,0.9540789478922872
694,J.Nelson,6.188235294117646,0.9681098196020889
106,J.Nelson,6.188235294117646,0.957768867210949
198,J.Nelson,6.188235294117646,0.95985401459854
599,J.Nelson,6.188235294117646,0.9621853735058723
602,J.Nelson,6.188235294117646,0.9659705247464254
216,J.Nelson,6.188235294117646,0.9608335720529001
2271,J.Nelson,6.182352941176471,1.0041507193218377
2274,J.Nelson,6.182352941176471,1.0084635644121174
2139,J.Nelson,6.18235294117647,1.0014811936324919
2234,J.Nelson,6.18235294117647,1.0081795678091179
84,J.Nelson,6.18235294117647,0.9575555589636532
81,J.Nelson,6.18235294117647,0.9538611151847932
501,J.Nelson,6.18235294117647,0.9600924409472951
2231,J.Nelson,6.18235294117647,1.0038703498093504
515,J.Nelson,6.18235294117647,0.960746877803588
580,J.Nelson,6.18235294117647,0.9657674963828075
997,J.Nelson,6.18235294117647,0.968370386471267
979,J.Nelson,6.18235294117647,0.9673657146678873
577,J.Nelson,6.18235294117647,0.9619775624888864
957,J.Nelson,6.182352941176469,0.9681189250849461
461,J.Nelson,6.182352941176469,0.9598473716889334
804,J.Nelson,6.176470588235294,0.9643739719981897
801,J.Nelson,6.176470588235294,0.9605932071461032
305,J.Nelson,6.176470588235294,0.9524962496019973
691,J.Nelson,6.176470588235294,0.9575191729826671
2117,J.Nelson,6.176470588235294,1.0013278100128622
786,J.Nelson,6.176470588235294,0.9633797868353138
783,J.Nelson,6.176470588235294,0.9596106572289708
308,J.Nelson,6.176470588235294,0.9561818467259351
651,J.Nelson,6.1764705882352935,0.9572756053748404
669,J.Nelson,6.1764705882352935,0.9582509928349157
761,J.Nelson,6.1764705882352935,0.9603472867429446
764,J.Nelson,6.1764705882352935,0.9641251371766933
173,J.Nelson,6.1764705882352935,0.9502126257842469
265,J.Nelson,6.1764705882352935,0.9522564940620563
268,J.Nelson,6.1764705882352935,0.955939297976634
2341,J.Nelson,6.170588235294118,0.9998450924858973
2805,J.Nelson,6.170588235294118,1.0073405772495936
2819,J.Nelson,6.170588235294118,1.0080994320735603
2323,J.Nelson,6.170588235294118,0.9987351385683859
2301,J.Nelson,6.170588235294117,0.9995672571005245
2765,J.Nelson,6.170588235294117,1.0070564481858804
230,J.Nelson,6.170588235294117,0.9553623121732235
726,J.Nelson,6.170588235294117,0.963548997662547
323,J.Nelson,6.170588235294117,0.9576199592633173
971,J.Nelson,6.164705882352941,0.9625589926206686
1011,J.Nelson,6.164705882352941,0.9628075628601064
704,J.Nelson,6.164705882352941,0.9633467930133196
572,J.Nelson,6.164705882352941,0.9609754363041842
73,J.Nelson,6.164705882352941,0.9491772423800612
116,J.Nelson,6.164705882352941,0.9530794258050338
2266,J.Nelson,6.164705882352941,1.0032682397144235
493,J.Nelson,6.164705882352941,0.9553521756664354
989,J.Nelson,6.164705882352941,0.9635544306014703
2263,J.Nelson,6.164705882352941,0.9989972346434739
76,J.Nelson,6.164705882352941,0.9528383124221538
113,J.Nelson,6.164705882352941,0.9494155864598655
569,J.Nelson,6.164705882352941,0.957220138458278
507,J.Nelson,6.164705882352941,0.9560006609169489
127,J.Nelson,6.164705882352941,0.9500520495216009
612,J.Nelson,6.164705882352941,0.9612227814379458
609,J.Nelson,6.164705882352941,0.957464594448129
591,J.Nelson,6.164705882352941,0.9564878924044152
208,J.Nelson,6.164705882352941,0.9551497945030816
130,J.Nelson,6.164705882352941,0.9537232907687977
547,J.Nelson,6.164705882352941,0.9562441835642373
594,J.Nelson,6.164705882352941,0.960234544991404
818,J.Nelson,6.158823529411765,0.9588515176353127
2244,J.Nelson,6.158823529411765,1.0031220883785061
2131,J.Nelson,6.158823529411765,0.9953703738151156
2149,J.Nelson,6.158823529411765,0.9964733435137888
815,J.Nelson,6.158823529411765,0.955113879964305
2241,J.Nelson,6.158823529411765,0.9988448348508991
2627,J.Nelson,6.158823529411765,1.004675404926029
778,J.Nelson,6.158823529411764,0.9586055290279037
300,J.Nelson,6.158823529411764,0.9514730405619511
297,J.Nelson,6.158823529411764,0.9478206983506008
793,J.Nelson,6.158823529411764,0.9558443674810218
796,J.Nelson,6.158823529411764,0.9595906212351577
2109,J.Nelson,6.158823529411764,0.9961972573770298
775,J.Nelson,6.158823529411764,0.9548707560476972
683,J.Nelson,6.158823529411764,0.9527982569852349
2355,J.Nelson,6.152941176470589,0.9938997094244445
2851,J.Nelson,6.152941176470589,1.0031811416354834
2811,J.Nelson,6.152941176470588,1.0028989053626707
450,J.Nelson,6.152941176470588,0.9589609169196257
2315,J.Nelson,6.152941176470588,0.9936252325142739
661,J.Nelson,6.152941176470588,0.9525850681082445
2333,J.Nelson,6.152941176470588,0.9947245069452351
355,J.Nelson,6.152941176470588,0.9531362024756814
447,J.Nelson,6.152941176470588,0.9552148942239935
2797,J.Nelson,6.152941176470588,1.0021474383411124
315,J.Nelson,6.152941176470587,0.9528941232759879
623,J.Nelson,6.147058823529412,0.9520099975048103
162,J.Nelson,6.147058823529412,0.9492683254933716
240,J.Nelson,6.147058823529412,0.9506830086019469
254,J.Nelson,6.147058823529412,0.9513257037147966
159,J.Nelson,6.147058823529412,0.9456274000242645
718,J.Nelson,6.147058823529412,0.9578251787766935
626,J.Nelson,6.147058823529412,0.9557254369883896
736,J.Nelson,6.147058823529412,0.9588116356361128
583,J.Nelson,6.147058823529411,0.9517683134665552
586,J.Nelson,6.147058823529411,0.9554809129366465
696,J.Nelson,6.147058823529411,0.9585647357114551
108,J.Nelson,6.147058823529411,0.9483906688936627
604,J.Nelson,6.147058823529411,0.9564601370858841
200,J.Nelson,6.147058823529411,0.9504423335369035
601,J.Nelson,6.147058823529411,0.9527361557995924
105,J.Nelson,6.147058823529411,0.9447597943052197
539,J.Nelson,6.147058823529411,0.9515268134017862
1003,J.Nelson,6.147058823529411,0.9580304395370268
122,J.Nelson,6.147058823529411,0.949028722983955
119,J.Nelson,6.147058823529411,0.9453905432588018
2255,J.Nelson,6.141176470588236,0.9928997739482004
2754,J.Nelson,6.141176470588236,1.0065345185260504
2659,J.Nelson,6.141176470588236,0.9997798762878085
2163,J.Nelson,6.141176470588236,0.9905569178592399
2276,J.Nelson,6.141176470588236,0.9982403317928968
2273,J.Nelson,6.141176470588236,0.9940008532716174
2258,J.Nelson,6.141176470588236,0.9971251196043692
2751,J.Nelson,6.141176470588236,1.0021889457867657
807,J.Nelson,6.141176470588235,0.9504027418650113
2141,J.Nelson,6.141176470588235,0.991376549588589
2619,J.Nelson,6.141176470588235,0.9994994292630228
2123,J.Nelson,6.141176470588235,0.990284158710864
517,J.Nelson,6.141176470588235,0.951314552215744
2233,J.Nelson,6.141176470588235,0.9937252400535426
981,J.Nelson,6.141176470588235,0.9578263819688332
2236,J.Nelson,6.141176470588235,0.9979611779798871
810,J.Nelson,6.141176470588235,0.9541064483678906
62,J.Nelson,6.135294117647058,0.9482390277167226
693,J.Nelson,6.135294117647058,0.9481324538928425
482,J.Nelson,6.135294117647058,0.9544553009134409
479,J.Nelson,6.135294117647058,0.9507404743830347
785,J.Nelson,6.135294117647058,0.9501903346276747
2347,J.Nelson,6.135294117647058,0.9888232835524159
788,J.Nelson,6.135294117647058,0.9538986910301588
2843,J.Nelson,6.135294117647058,0.9980152986962291
347,J.Nelson,6.1352941176470575,0.9484389505381816
442,J.Nelson,6.1352941176470575,0.954210815642685
653,J.Nelson,6.1352941176470575,0.9478927941122187
439,J.Nelson,6.1352941176470575,0.9504988319712664
2325,J.Nelson,6.129411764705883,0.9886637494215043
750,J.Nelson,6.129411764705883,0.9533254679211239
286,J.Nelson,6.129411764705883,0.9468799709223139
2821,J.Nelson,6.129411764705883,0.9978691648141663
618,J.Nelson,6.129411764705882,0.951000726398681
615,J.Nelson,6.129411764705882,0.9473189199826422
728,J.Nelson,6.129411764705882,0.9540588524642318
154,J.Nelson,6.129411764705882,0.9446019523060327
151,J.Nelson,6.129411764705882,0.9409936849962801
325,J.Nelson,6.129411764705882,0.9482253494283983
710,J.Nelson,6.129411764705882,0.9530813819849929
246,J.Nelson,6.129411764705882,0.9466408011947001
232,J.Nelson,6.129411764705882,0.946003900217473
2290,J.Nelson,6.123529411764706,0.9922848709827702
2287,J.Nelson,6.123529411764706,0.9880966184548983
2783,J.Nelson,6.123529411764706,0.9973039648116269
2786,J.Nelson,6.123529411764706,1.0016109069186379
531,J.Nelson,6.123529411764705,0.94590799043833
2268,J.Nelson,6.123529411764705,0.9931135648217037
2265,J.Nelson,6.123529411764705,0.9889148545905905
132,J.Nelson,6.123529411764705,0.9443848427522036
1013,J.Nelson,6.123529411764705,0.9533230857259799
1027,J.Nelson,6.123529411764705,0.9539761487790563
2651,J.Nelson,6.123529411764705,0.9946382445683074
549,J.Nelson,6.123529411764705,0.9468653731846932
129,J.Nelson,6.123529411764705,0.9407721622278209
2746,J.Nelson,6.123529411764705,1.0013272896898022
2247,J.Nelson,6.123529411764705,0.9878243240880682
593,J.Nelson,6.123529411764705,0.947105173433514
